Fullname, Course, Score, Experience, StudyMode, StudyPattern
Jessica Hale,Doctor of Dental Medicine (D.M.D.),75,,online,FT
Tanya Zimmerman,Doctor of Physical Therapy (D.P.T.),98,nursing,,PT
Jessica Smith,Doctor of Pharmacy (Pharm.D.),92,,online,
Gina Maldonado DVM,Doctor of Chiropractic (D.C.),84,nutrition,on-campus,PT
James Jones,Doctor of Osteopathic Medicine (D.O.),58,,,
Brian Morgan,Bachelor of Science in Biomedical Science (B.S.),81,nutrition,online,
Tonya Bryant,Doctor of Medicine (M.D.),59,surgery,on-campus,PT
Cheryl Yang,Doctor of Osteopathic Medicine (D.O.),67,nursing,on-campus,PT
Jeffrey Weaver,Doctor of Pharmacy (Pharm.D.),87,nutrition,online,FT
Jessica Knox,Bachelor of Science in Nursing (B.S.N.),73,immunology,,FT
Maurice Miller,Doctor of Chiropractic (D.C.),84,immunology,,FT
Pamela Wright,Doctor of Dental Surgery (D.D.S.),85,nursing,online,PT
John White,Doctor of Optometry (O.D.),73,immunology,online,FT
Leonard White,Doctor of Osteopathic Medicine (D.O.),58,dentistry,online,PT
Susan Jones,Doctor of Veterinary Medicine (D.V.M.),90,nursing,on-campus,PT
Nancy Rose,Doctor of Medicine (M.D.),79,nursing,on-campus,
Francisco Ellis,Master of Public Health (M.P.H.),95,,on-campus,FT
Sarah Martin,Master of Health Administration (M.H.A.),88,nursing,on-campus,
Haley Vazquez,Doctor of Nursing Practice (D.N.P.),95,,,
Kathleen Riley,Doctor of Veterinary Medicine (D.V.M.),53,dentistry,on-campus,
Eugene Hicks,Master of Health Administration (M.H.A.),85,nursing,online,
Andrea Day,Doctor of Podiatric Medicine (D.P.M.),81,immunology,online,
Dr. John Gomez,Doctor of Osteopathic Medicine (D.O.),66,dentistry,online,PT
Connor Thornton,Doctor of Veterinary Medicine (D.V.M.),67,nursing,on-campus,FT
Mr. Harry Diaz IV,Doctor of Chiropractic (D.C.),85,immunology,on-campus,PT
Jennifer West,Doctor of Chiropractic (D.C.),73,dentistry,online,
Brittany Haas,Doctor of Osteopathic Medicine (D.O.),55,nutrition,online,FT
Lee Anderson,Doctor of Chiropractic (D.C.),67,,online,
Anthony Smith,Bachelor of Science in Nursing (B.S.N.),51,dentistry,online,FT
Matthew Rangel,Master of Public Health (M.P.H.),60,surgery,online,FT
Jennifer Rivera DDS,Doctor of Chiropractic (D.C.),56,physiotherapy,online,
Amanda Harmon,Doctor of Medicine (M.D.),71,,on-campus,PT
Julie Taylor MD,Bachelor of Science in Nursing (B.S.N.),63,dentistry,,
Michael Henderson,Doctor of Nursing Practice (D.N.P.),88,,online,
Joseph Graham,Doctor of Podiatric Medicine (D.P.M.),79,physiotherapy,on-campus,PT
Travis Glover,Doctor of Optometry (O.D.),72,nutrition,,FT
Michelle Jackson,Doctor of Podiatric Medicine (D.P.M.),64,physiotherapy,online,
Morgan Mendoza,Doctor of Physical Therapy (D.P.T.),67,,on-campus,
Christopher Landry,Doctor of Dental Medicine (D.M.D.),99,surgery,online,PT
Veronica Lowe,Doctor of Podiatric Medicine (D.P.M.),69,nutrition,online,
Manuel Meza,Doctor of Veterinary Medicine (D.V.M.),70,,online,PT
Erika Trevino,Master of Health Administration (M.H.A.),61,dentistry,,FT
John Singh MD,Doctor of Optometry (O.D.),58,immunology,on-campus,FT
Shaun Johnson,Doctor of Medicine (M.D.),68,,online,FT
Casey Reeves,Master of Health Administration (M.H.A.),52,nursing,online,PT
Cynthia Baker,Bachelor of Science in Biomedical Science (B.S.),56,,online,PT
Carl Potter,Doctor of Podiatric Medicine (D.P.M.),73,physiotherapy,on-campus,PT
Jessica Miller,Doctor of Dental Surgery (D.D.S.),83,surgery,on-campus,
Joseph Andrews,Doctor of Chiropractic (D.C.),76,nutrition,on-campus,PT
Amanda Franco,Doctor of Pharmacy (Pharm.D.),80,physiotherapy,on-campus,
Tara Thomas,Doctor of Dental Medicine (D.M.D.),86,dentistry,on-campus,
Shane Henry,Doctor of Optometry (O.D.),80,nutrition,on-campus,
Deborah Mathis,Doctor of Pharmacy (Pharm.D.),58,surgery,on-campus,PT
Edward Lewis,Doctor of Dental Medicine (D.M.D.),71,immunology,on-campus,FT
Derek Flores,Bachelor of Science in Biomedical Science (B.S.),78,surgery,on-campus,PT
Edward Reynolds,Doctor of Osteopathic Medicine (D.O.),86,physiotherapy,,FT
April Marsh DDS,Master of Public Health (M.P.H.),52,physiotherapy,on-campus,FT
John Vaughn,Master of Public Health (M.P.H.),75,nutrition,on-campus,FT
Mariah Waller,Doctor of Chiropractic (D.C.),79,nursing,online,
Cory Peterson,Doctor of Chiropractic (D.C.),85,nursing,,
James Glenn,Doctor of Dental Medicine (D.M.D.),78,nutrition,on-campus,
Erin Juarez,Doctor of Osteopathic Medicine (D.O.),94,dentistry,,FT
William Murphy,Doctor of Pharmacy (Pharm.D.),97,dentistry,on-campus,FT
Michele Wright,Doctor of Medicine (M.D.),77,nursing,online,PT
Denise Graham,Doctor of Optometry (O.D.),73,surgery,on-campus,PT
Diana Lambert,Bachelor of Science in Nursing (B.S.N.),82,dentistry,,
Maria Gonzalez,Doctor of Osteopathic Medicine (D.O.),84,immunology,on-campus,PT
Charles Hines,Doctor of Dental Medicine (D.M.D.),74,,online,PT
Victoria Morrison,Bachelor of Science in Nursing (B.S.N.),64,physiotherapy,online,PT
Paul Johnson,Doctor of Osteopathic Medicine (D.O.),82,dentistry,online,
Joshua Clark,Doctor of Chiropractic (D.C.),97,,on-campus,FT
Michelle Green,Doctor of Dental Medicine (D.M.D.),97,surgery,,
Savannah Hammond,Bachelor of Science in Biomedical Science (B.S.),50,physiotherapy,on-campus,PT
Michael Brown,Doctor of Pharmacy (Pharm.D.),95,surgery,,PT
Carrie Ellis,Doctor of Osteopathic Medicine (D.O.),84,physiotherapy,,PT
Crystal Gibson,Doctor of Physical Therapy (D.P.T.),60,nutrition,online,FT
Shelby Lewis,Bachelor of Science in Nursing (B.S.N.),74,nursing,on-campus,PT
Amy Freeman,Doctor of Physical Therapy (D.P.T.),66,dentistry,on-campus,
Frank Smith,Bachelor of Science in Biomedical Science (B.S.),74,,on-campus,PT
Christian Barrera,Bachelor of Science in Nursing (B.S.N.),60,nutrition,,FT
Charles Warren,Doctor of Dental Medicine (D.M.D.),58,nursing,on-campus,FT
Michael Simpson,Doctor of Podiatric Medicine (D.P.M.),93,immunology,,
Jennifer Williams,Doctor of Medicine (M.D.),91,immunology,,FT
Vanessa Bean,Doctor of Optometry (O.D.),51,immunology,,PT
Patricia Jordan,Doctor of Podiatric Medicine (D.P.M.),66,,online,PT
Frederick Gutierrez,Doctor of Veterinary Medicine (D.V.M.),76,surgery,,
Crystal White,Bachelor of Science in Biomedical Science (B.S.),51,nutrition,on-campus,
Rachel Suarez,Doctor of Podiatric Medicine (D.P.M.),52,nutrition,on-campus,
Joseph May,Doctor of Pharmacy (Pharm.D.),59,surgery,on-campus,
Sarah Carter,Bachelor of Science in Biomedical Science (B.S.),90,dentistry,,PT
Jennifer Hall,Bachelor of Science in Nursing (B.S.N.),76,dentistry,online,FT
Kent Green,Doctor of Podiatric Medicine (D.P.M.),74,immunology,on-campus,FT
Kirk Krause,Doctor of Veterinary Medicine (D.V.M.),94,,online,PT
Crystal Davis,Doctor of Medicine (M.D.),60,immunology,online,FT
Karen Fletcher,Bachelor of Science in Biomedical Science (B.S.),76,surgery,,FT
Brandon Thomas,Doctor of Chiropractic (D.C.),76,dentistry,online,
Katrina Wilson,Doctor of Osteopathic Medicine (D.O.),50,nutrition,,PT
Maureen Evans,Doctor of Medicine (M.D.),83,immunology,on-campus,FT
Brian Blankenship,Master of Health Administration (M.H.A.),84,dentistry,on-campus,
Jessica Robinson,Doctor of Nursing Practice (D.N.P.),66,nursing,,PT
Jacob Gonzalez,Doctor of Physical Therapy (D.P.T.),53,nursing,online,PT
Alyssa Farmer,Doctor of Dental Medicine (D.M.D.),68,nursing,on-campus,FT
Yolanda Hill,Doctor of Pharmacy (Pharm.D.),63,,online,
Theodore Singleton,Doctor of Nursing Practice (D.N.P.),59,surgery,on-campus,PT
John Santana,Doctor of Physical Therapy (D.P.T.),79,nursing,online,FT
Olivia Black,Bachelor of Science in Biomedical Science (B.S.),69,physiotherapy,,PT
Barbara Bush,Doctor of Dental Medicine (D.M.D.),87,,,FT
Christine Barajas,Doctor of Dental Surgery (D.D.S.),71,nutrition,on-campus,FT
Adam Brown,Bachelor of Science in Nursing (B.S.N.),87,nutrition,,
Kenneth Powell,Doctor of Dental Medicine (D.M.D.),70,dentistry,online,
Richard Hayes,Doctor of Osteopathic Medicine (D.O.),82,nutrition,on-campus,FT
Monica Howe,Doctor of Pharmacy (Pharm.D.),61,immunology,online,PT
Renee Coleman,Bachelor of Science in Nursing (B.S.N.),56,physiotherapy,,
Teresa Carter,Doctor of Chiropractic (D.C.),55,dentistry,on-campus,PT
Bruce Martin,Doctor of Veterinary Medicine (D.V.M.),78,surgery,on-campus,FT
Mrs. Peggy Norris,Master of Health Administration (M.H.A.),84,dentistry,online,
Thomas Lopez,Doctor of Dental Medicine (D.M.D.),62,physiotherapy,on-campus,FT
Virginia Baker,Doctor of Dental Medicine (D.M.D.),96,physiotherapy,on-campus,PT
Laura Bowers,Doctor of Optometry (O.D.),100,dentistry,,
Vincent Dalton,Doctor of Pharmacy (Pharm.D.),80,physiotherapy,online,PT
Kristopher Garcia,Master of Health Administration (M.H.A.),50,dentistry,,FT
Leslie Rivas,Doctor of Pharmacy (Pharm.D.),97,immunology,online,FT
Michael Avery,Doctor of Dental Surgery (D.D.S.),97,immunology,,
Kristi Price,Doctor of Podiatric Medicine (D.P.M.),95,,on-campus,
Daniel Bolton,Master of Public Health (M.P.H.),82,immunology,on-campus,PT
Caitlin Schneider,Master of Health Administration (M.H.A.),53,immunology,online,PT
Philip Walker,Doctor of Medicine (M.D.),99,surgery,online,FT
Jennifer Herman,Doctor of Nursing Practice (D.N.P.),60,immunology,online,FT
Darrell Taylor,Doctor of Podiatric Medicine (D.P.M.),90,nutrition,,FT
Willie Edwards,Doctor of Pharmacy (Pharm.D.),93,,online,
John Sharp,Doctor of Optometry (O.D.),55,physiotherapy,,
Seth Alvarez,Doctor of Chiropractic (D.C.),67,nutrition,,PT
Courtney Estrada,Doctor of Physical Therapy (D.P.T.),66,,on-campus,
Dale Lopez,Bachelor of Science in Biomedical Science (B.S.),53,dentistry,on-campus,FT
Kathy Hernandez,Doctor of Podiatric Medicine (D.P.M.),91,surgery,online,
Raymond Rodriguez,Bachelor of Science in Nursing (B.S.N.),74,dentistry,on-campus,FT
Melanie Ho PhD,Doctor of Podiatric Medicine (D.P.M.),52,,,
William Brown,Master of Health Administration (M.H.A.),96,immunology,,FT
Gina Robbins,Master of Health Administration (M.H.A.),81,,on-campus,
Megan Kelley,Doctor of Veterinary Medicine (D.V.M.),58,nutrition,on-campus,PT
Angel Norris,Doctor of Dental Medicine (D.M.D.),56,,,
Caleb Edwards,Doctor of Pharmacy (Pharm.D.),73,physiotherapy,on-campus,PT
Michael Francis,Doctor of Dental Medicine (D.M.D.),55,surgery,on-campus,PT
John Arnold,Doctor of Chiropractic (D.C.),96,,,FT
Daniel Brennan,Doctor of Medicine (M.D.),88,nursing,online,
Rachel Johnson MD,Doctor of Podiatric Medicine (D.P.M.),100,nutrition,on-campus,
Richard Lee,Doctor of Medicine (M.D.),53,dentistry,on-campus,PT
Cody Cain,Bachelor of Science in Nursing (B.S.N.),69,nursing,,
Alan Rice,Doctor of Physical Therapy (D.P.T.),75,nursing,on-campus,PT
Amber Stewart,Doctor of Osteopathic Medicine (D.O.),98,dentistry,on-campus,
Terri Deleon,Doctor of Osteopathic Medicine (D.O.),89,surgery,on-campus,PT
Sean Chambers Jr.,Doctor of Chiropractic (D.C.),94,nursing,on-campus,PT
Cynthia Navarro,Doctor of Medicine (M.D.),52,nutrition,,FT
Ronnie Li,Master of Public Health (M.P.H.),66,physiotherapy,online,FT
Andrew Jones,Doctor of Dental Surgery (D.D.S.),63,,on-campus,
Jonathan Knight,Doctor of Dental Surgery (D.D.S.),96,dentistry,on-campus,PT
Whitney Cortez,Doctor of Podiatric Medicine (D.P.M.),67,,online,FT
Jennifer Phillips,Master of Health Administration (M.H.A.),96,nursing,online,FT
Sarah Moore,Doctor of Veterinary Medicine (D.V.M.),71,surgery,on-campus,PT
Tina Brown,Doctor of Physical Therapy (D.P.T.),72,dentistry,online,FT
Dave Jones,Doctor of Podiatric Medicine (D.P.M.),77,nursing,,PT
Jason Powell,Doctor of Physical Therapy (D.P.T.),54,physiotherapy,online,FT
Daniel Sanchez,Doctor of Osteopathic Medicine (D.O.),100,dentistry,online,
Stephanie Boyd,Doctor of Dental Surgery (D.D.S.),70,dentistry,on-campus,
Dylan Simpson,Doctor of Physical Therapy (D.P.T.),52,dentistry,online,PT
Joseph Hardin,Doctor of Dental Surgery (D.D.S.),57,,on-campus,FT
Aaron Martin,Doctor of Medicine (M.D.),70,immunology,online,PT
Karen Evans,Doctor of Dental Medicine (D.M.D.),100,physiotherapy,on-campus,FT
Kevin Clayton,Doctor of Dental Medicine (D.M.D.),68,surgery,online,FT
Dorothy Larsen,Doctor of Veterinary Medicine (D.V.M.),98,nutrition,on-campus,PT
Zachary Wilkinson,Bachelor of Science in Nursing (B.S.N.),52,physiotherapy,,
Casey Maxwell,Doctor of Chiropractic (D.C.),79,nursing,,
Steven Moore,Doctor of Osteopathic Medicine (D.O.),73,physiotherapy,online,FT
Kevin Burns,Doctor of Pharmacy (Pharm.D.),54,nursing,on-campus,
Keith Shields,Doctor of Optometry (O.D.),96,dentistry,online,PT
Amanda Vega,Doctor of Physical Therapy (D.P.T.),67,,,PT
Jeffrey Potter,Doctor of Medicine (M.D.),53,immunology,on-campus,FT
Brian Tucker,Doctor of Podiatric Medicine (D.P.M.),91,nutrition,on-campus,PT
Monica Martinez,Doctor of Physical Therapy (D.P.T.),98,surgery,on-campus,PT
Ashley Carter,Bachelor of Science in Nursing (B.S.N.),63,dentistry,online,FT
Gary Brown,Master of Public Health (M.P.H.),79,nursing,online,PT
Seth Kim,Doctor of Veterinary Medicine (D.V.M.),67,,,
Jonathan Gonzalez,Master of Health Administration (M.H.A.),86,,online,FT
Anthony Austin,Doctor of Nursing Practice (D.N.P.),62,nutrition,,
Zachary Wilson,Doctor of Pharmacy (Pharm.D.),84,surgery,,
Amanda Franklin,Master of Health Administration (M.H.A.),95,immunology,online,PT
Jessica Turner,Doctor of Dental Medicine (D.M.D.),90,immunology,on-campus,PT
Victoria Good,Bachelor of Science in Nursing (B.S.N.),86,nursing,,PT
Stephanie Newton,Doctor of Nursing Practice (D.N.P.),63,,on-campus,PT
Laura Day,Doctor of Dental Medicine (D.M.D.),65,,online,PT
Jason Jimenez,Doctor of Podiatric Medicine (D.P.M.),68,,on-campus,FT
David Lopez,Doctor of Osteopathic Medicine (D.O.),93,nursing,,FT
Xavier Calhoun,Master of Public Health (M.P.H.),86,,on-campus,FT
Laura Mcconnell,Bachelor of Science in Nursing (B.S.N.),52,nutrition,on-campus,
Katrina Pace,Doctor of Pharmacy (Pharm.D.),79,physiotherapy,online,FT
Sheila Wang,Doctor of Medicine (M.D.),91,dentistry,,
Tim Lopez,Bachelor of Science in Nursing (B.S.N.),70,surgery,on-campus,PT
George Farmer,Doctor of Veterinary Medicine (D.V.M.),89,dentistry,,
Kelly York,Doctor of Chiropractic (D.C.),89,immunology,online,
Megan Martinez,Doctor of Veterinary Medicine (D.V.M.),50,nutrition,online,
Jose Davis,Bachelor of Science in Nursing (B.S.N.),94,physiotherapy,online,
James Alvarado,Doctor of Pharmacy (Pharm.D.),92,nutrition,online,
William Palmer,Bachelor of Science in Nursing (B.S.N.),93,physiotherapy,,PT
Julie French,Doctor of Optometry (O.D.),76,physiotherapy,on-campus,PT
Lauren Jones,Doctor of Optometry (O.D.),78,surgery,,
Mary Thornton,Bachelor of Science in Nursing (B.S.N.),87,nursing,online,FT
Anthony Hall,Doctor of Dental Surgery (D.D.S.),70,,online,PT
Angela Moreno,Doctor of Osteopathic Medicine (D.O.),82,physiotherapy,,FT
Melody Golden,Bachelor of Science in Biomedical Science (B.S.),64,,on-campus,PT
Megan Garcia,Doctor of Nursing Practice (D.N.P.),62,,,FT
Thomas Cooper,Doctor of Dental Surgery (D.D.S.),61,dentistry,,
Seth Shaw,Doctor of Nursing Practice (D.N.P.),62,nutrition,,FT
Justin Garcia,Doctor of Optometry (O.D.),86,dentistry,,FT
Brittany Roberts,Doctor of Veterinary Medicine (D.V.M.),97,dentistry,online,FT
Amy Glover,Master of Public Health (M.P.H.),77,nutrition,on-campus,FT
Noah Marshall,Doctor of Physical Therapy (D.P.T.),83,immunology,online,
Lisa Lewis,Doctor of Nursing Practice (D.N.P.),60,dentistry,on-campus,FT
Heather Reed,Doctor of Nursing Practice (D.N.P.),96,nursing,online,
Richard Walton,Doctor of Physical Therapy (D.P.T.),53,,,PT
Clayton Taylor,Master of Health Administration (M.H.A.),68,surgery,on-campus,
Matthew Walters,Doctor of Physical Therapy (D.P.T.),62,immunology,online,PT
Paige Medina,Doctor of Podiatric Medicine (D.P.M.),50,nursing,on-campus,PT
Jillian Johnson,Doctor of Osteopathic Medicine (D.O.),58,nursing,on-campus,PT
Christopher Nguyen,Doctor of Optometry (O.D.),70,physiotherapy,online,
Betty Stewart,Doctor of Medicine (M.D.),50,nutrition,online,PT
Michael Griffin,Doctor of Podiatric Medicine (D.P.M.),56,dentistry,online,PT
Julie Brown,Doctor of Dental Surgery (D.D.S.),81,,,
Sarah Parker,Doctor of Chiropractic (D.C.),100,immunology,online,FT
Breanna Rice,Doctor of Chiropractic (D.C.),59,dentistry,on-campus,FT
Timothy Steele,Doctor of Osteopathic Medicine (D.O.),64,nursing,online,
Carmen Russo,Doctor of Podiatric Medicine (D.P.M.),57,,online,PT
Tonya Figueroa,Doctor of Dental Medicine (D.M.D.),90,nutrition,online,
Amanda Hooper,Master of Health Administration (M.H.A.),94,surgery,on-campus,
Ryan West,Master of Public Health (M.P.H.),83,nursing,,PT
Oscar Leonard,Master of Health Administration (M.H.A.),95,dentistry,,FT
Kenneth Romero,Doctor of Osteopathic Medicine (D.O.),93,dentistry,,FT
Mark Ingram,Doctor of Physical Therapy (D.P.T.),93,immunology,,PT
Wayne Stewart,Doctor of Chiropractic (D.C.),65,physiotherapy,on-campus,FT
Timothy Howell,Doctor of Physical Therapy (D.P.T.),54,surgery,on-campus,FT
Mandy Miller,Doctor of Dental Surgery (D.D.S.),87,immunology,,
Stephanie Cole,Doctor of Dental Surgery (D.D.S.),76,nursing,online,PT
Samuel Heath,Master of Public Health (M.P.H.),66,immunology,,
Angel Brown,Doctor of Osteopathic Medicine (D.O.),93,immunology,,PT
Rebecca Lowe,Doctor of Dental Medicine (D.M.D.),63,physiotherapy,online,PT
Michael Goodwin,Doctor of Podiatric Medicine (D.P.M.),78,dentistry,,
William Stevens,Doctor of Dental Medicine (D.M.D.),63,dentistry,online,FT
Elizabeth Hughes,Bachelor of Science in Nursing (B.S.N.),76,immunology,on-campus,FT
Harold Silva DDS,Doctor of Pharmacy (Pharm.D.),100,,on-campus,
Anthony Irwin,Master of Public Health (M.P.H.),71,,on-campus,
Sheryl Clark,Doctor of Optometry (O.D.),95,nursing,,PT
Brittany Powell,Master of Public Health (M.P.H.),50,surgery,online,PT
Brian Orr,Doctor of Podiatric Medicine (D.P.M.),99,dentistry,on-campus,PT
Jose Decker,Doctor of Veterinary Medicine (D.V.M.),60,nutrition,on-campus,FT
Michael Clark,Doctor of Nursing Practice (D.N.P.),92,surgery,on-campus,
James Ray,Doctor of Pharmacy (Pharm.D.),62,surgery,online,
William Ramirez,Doctor of Podiatric Medicine (D.P.M.),54,nutrition,on-campus,
Briana Porter,Doctor of Nursing Practice (D.N.P.),93,dentistry,online,PT
Kimberly Young,Doctor of Optometry (O.D.),99,dentistry,on-campus,FT
Morgan Gardner,Doctor of Osteopathic Medicine (D.O.),74,,on-campus,FT
Jessica Phelps,Doctor of Veterinary Medicine (D.V.M.),79,nursing,online,PT
Melissa Lambert,Doctor of Optometry (O.D.),86,nursing,online,PT
Cathy Nelson,Doctor of Dental Surgery (D.D.S.),98,surgery,,
Katherine Hill,Doctor of Veterinary Medicine (D.V.M.),60,surgery,,
Paige Thomas,Bachelor of Science in Nursing (B.S.N.),77,nursing,,PT
Joseph Hernandez,Doctor of Pharmacy (Pharm.D.),64,nutrition,online,PT
Kirk Jenkins,Doctor of Podiatric Medicine (D.P.M.),72,nutrition,,
James Larson,Doctor of Medicine (M.D.),89,,on-campus,FT
Elizabeth Lee,Doctor of Chiropractic (D.C.),100,physiotherapy,,
Tricia Russell,Doctor of Physical Therapy (D.P.T.),87,dentistry,online,FT
Edward Robbins,Bachelor of Science in Nursing (B.S.N.),79,dentistry,on-campus,
Eric Brown,Bachelor of Science in Nursing (B.S.N.),72,physiotherapy,,PT
Caleb Lin,Doctor of Physical Therapy (D.P.T.),80,nutrition,on-campus,FT
Megan Jackson,Doctor of Chiropractic (D.C.),74,,,FT
Charles Ferguson,Doctor of Physical Therapy (D.P.T.),82,,online,PT
Ronald Bush,Bachelor of Science in Biomedical Science (B.S.),93,,,FT
Tyler Webb,Bachelor of Science in Biomedical Science (B.S.),56,dentistry,,FT
Robert Hammond,Doctor of Veterinary Medicine (D.V.M.),94,,on-campus,
Shirley Holland,Doctor of Dental Surgery (D.D.S.),89,immunology,online,
Shelly Watkins,Doctor of Optometry (O.D.),81,,,FT
Carol Rodriguez,Doctor of Dental Medicine (D.M.D.),97,surgery,online,FT
Lisa Parker,Doctor of Dental Surgery (D.D.S.),56,dentistry,,PT
Danielle Silva,Doctor of Nursing Practice (D.N.P.),79,surgery,,
Charles Howe,Doctor of Osteopathic Medicine (D.O.),74,nursing,online,PT
Melissa Weaver,Master of Public Health (M.P.H.),82,immunology,on-campus,PT
Kaitlyn Jones,Doctor of Physical Therapy (D.P.T.),51,physiotherapy,,PT
Theresa Hughes,Bachelor of Science in Biomedical Science (B.S.),69,physiotherapy,,PT
Brandon Carter DVM,Doctor of Podiatric Medicine (D.P.M.),74,dentistry,online,PT
Courtney Campbell,Bachelor of Science in Biomedical Science (B.S.),91,immunology,online,
Shelby Guerrero,Doctor of Podiatric Medicine (D.P.M.),75,immunology,,
Elaine Randall,Doctor of Osteopathic Medicine (D.O.),65,surgery,on-campus,FT
Cathy Adams,Doctor of Optometry (O.D.),62,physiotherapy,online,PT
Kylie Gardner,Doctor of Veterinary Medicine (D.V.M.),93,immunology,on-campus,FT
Sara Santiago,Master of Public Health (M.P.H.),65,dentistry,on-campus,
Phyllis Salinas,Doctor of Optometry (O.D.),96,physiotherapy,,
Jacqueline Walker,Doctor of Dental Medicine (D.M.D.),82,dentistry,on-campus,
Stephanie Smith,Bachelor of Science in Nursing (B.S.N.),70,physiotherapy,online,FT
Michelle Butler,Doctor of Osteopathic Medicine (D.O.),51,dentistry,on-campus,FT
Melissa Robles,Doctor of Dental Surgery (D.D.S.),93,dentistry,,
John Miller,Master of Health Administration (M.H.A.),87,,,PT
Cynthia Cook,Doctor of Dental Surgery (D.D.S.),87,,on-campus,FT
Michael Johnson,Doctor of Veterinary Medicine (D.V.M.),98,nursing,,
Adam Anderson,Master of Health Administration (M.H.A.),69,,online,PT
Marcus Hamilton,Doctor of Medicine (M.D.),67,immunology,online,FT
William Levy,Doctor of Pharmacy (Pharm.D.),54,dentistry,online,
Lauren Garcia,Doctor of Chiropractic (D.C.),70,physiotherapy,online,PT
Stephen James,Doctor of Physical Therapy (D.P.T.),66,,online,
Eric Bishop,Doctor of Optometry (O.D.),93,physiotherapy,,FT
James Obrien,Doctor of Osteopathic Medicine (D.O.),72,immunology,,PT
Candice Kennedy,Doctor of Podiatric Medicine (D.P.M.),63,nursing,online,FT
Olivia Juarez,Doctor of Dental Medicine (D.M.D.),79,dentistry,online,FT
Elizabeth Smith,Bachelor of Science in Nursing (B.S.N.),52,,online,
Dawn Rodriguez,Doctor of Medicine (M.D.),71,surgery,,
Benjamin Parsons,Doctor of Osteopathic Medicine (D.O.),79,surgery,,PT
Danielle Stone,Doctor of Optometry (O.D.),72,,online,FT
Autumn King,Doctor of Dental Medicine (D.M.D.),78,immunology,,
Scott Snyder,Master of Public Health (M.P.H.),59,nutrition,online,FT
Gary Faulkner,Doctor of Osteopathic Medicine (D.O.),72,surgery,on-campus,FT
Jason Smith,Doctor of Veterinary Medicine (D.V.M.),83,immunology,on-campus,FT
Gary Morgan,Bachelor of Science in Biomedical Science (B.S.),95,physiotherapy,,
Amanda Maddox,Doctor of Dental Medicine (D.M.D.),83,,,PT
David Miller,Doctor of Nursing Practice (D.N.P.),71,,,PT
Ms. Tracey Fletcher,Doctor of Optometry (O.D.),84,surgery,,
Hailey Medina,Master of Public Health (M.P.H.),98,nutrition,,
Andrea Durham,Doctor of Osteopathic Medicine (D.O.),80,physiotherapy,on-campus,FT
Jennifer Valencia,Doctor of Dental Surgery (D.D.S.),95,,online,FT
Richard Williams,Doctor of Medicine (M.D.),53,nutrition,online,FT
Jason Estrada,Doctor of Dental Surgery (D.D.S.),68,nutrition,online,FT
Melissa Thompson,Doctor of Veterinary Medicine (D.V.M.),68,nursing,,FT
Chad Myers,Doctor of Podiatric Medicine (D.P.M.),85,immunology,on-campus,
Douglas Wilson,Doctor of Podiatric Medicine (D.P.M.),69,immunology,,FT
Shane Oliver,Master of Public Health (M.P.H.),64,nursing,on-campus,PT
Teresa Sanchez,Doctor of Nursing Practice (D.N.P.),93,dentistry,,PT
Curtis Hanson,Doctor of Veterinary Medicine (D.V.M.),76,physiotherapy,on-campus,FT
Cindy Davis,Doctor of Pharmacy (Pharm.D.),63,surgery,online,PT
James Miller,Doctor of Nursing Practice (D.N.P.),68,dentistry,on-campus,PT
Kevin Johnson,Doctor of Veterinary Medicine (D.V.M.),57,physiotherapy,on-campus,
Christine Walker,Doctor of Nursing Practice (D.N.P.),66,physiotherapy,online,
Matthew Torres,Doctor of Podiatric Medicine (D.P.M.),67,physiotherapy,on-campus,
Lauren Hahn,Bachelor of Science in Biomedical Science (B.S.),50,surgery,,
Shane Peterson,Doctor of Osteopathic Medicine (D.O.),97,surgery,,PT
David Hayes,Master of Public Health (M.P.H.),76,dentistry,,
Kelly Williams,Doctor of Dental Surgery (D.D.S.),59,physiotherapy,on-campus,
Greg Mccann,Doctor of Dental Medicine (D.M.D.),78,nutrition,,
Emma Kelly,Doctor of Chiropractic (D.C.),69,,,PT
Michael Stone,Doctor of Pharmacy (Pharm.D.),77,nursing,,
Randy Riley,Doctor of Medicine (M.D.),78,immunology,online,PT
Helen Webster,Doctor of Veterinary Medicine (D.V.M.),50,dentistry,,
Lisa Cohen,Doctor of Medicine (M.D.),59,physiotherapy,,
Jennifer Wright,Doctor of Nursing Practice (D.N.P.),99,nutrition,on-campus,PT
Allison Maldonado,Doctor of Medicine (M.D.),63,,on-campus,PT
Lisa Mcdonald,Bachelor of Science in Biomedical Science (B.S.),77,nursing,,PT
Joan Ellis,Doctor of Pharmacy (Pharm.D.),94,dentistry,online,PT
Lauren Walsh,Doctor of Podiatric Medicine (D.P.M.),55,,,FT
Jacob Nelson,Bachelor of Science in Biomedical Science (B.S.),87,physiotherapy,,PT
Joseph Cunningham,Doctor of Veterinary Medicine (D.V.M.),60,nursing,on-campus,PT
Dawn Maddox,Master of Public Health (M.P.H.),66,,on-campus,FT
Tonya Allen,Doctor of Physical Therapy (D.P.T.),60,nutrition,,
Keith Baker,Bachelor of Science in Biomedical Science (B.S.),80,dentistry,on-campus,PT
Christopher Osborne,Bachelor of Science in Biomedical Science (B.S.),91,surgery,online,PT
